State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Jo Jorgensen Libertarian_Votes,Jo Jorgensen Libertarian_Pct,Howie Hawkins Green_Votes,Howie Hawkins Green_Pct,Kanye West Independent_Votes,Kanye West Independent_Pct,Don Blankenship Constitution_Votes,Don Blankenship Constitution_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Limestone__AL,13672,27.77,34640,70.36,923,1.87,,,,,,,,,49235,Republican,70.36
Alabama,Lowndes__AL,4972,72.74,1836,26.86,27,0.4,,,,,,,,,6835,Democrat,72.74
Alabama,Macon__AL,7108,81.49,1541,17.67,74,0.84,,,,,,,,,8723,Democrat,81.49
Alabama,Madison__AL,87286,44.82,102780,52.77,4701,2.41,,,,,,,,,194767,Republican,52.77
Alabama,Marengo__AL,5488,50.35,5343,49.02,69,0.63,,,,,,,,,10900,Democrat,50.35
Alabama,Marion__AL,1463,10.6,12205,88.4,139,1.0,,,,,,,,,13807,Republican,88.4
Alabama,Marshall__AL,5943,14.99,33191,83.7,521,1.31,,,,,,,,,39655,Republican,83.7
Alabama,Mobile__AL,79474,43.39,101243,55.27,2447,1.34,,,,,,,,,183164,Republican,55.27
Alabama,Monroe__AL,4455,41.76,6147,57.62,66,0.62,,,,,,,,,10668,Republican,57.62
Alabama,Montgomery__AL,64529,65.09,33311,33.6,1299,1.31,,,,,,,,,99139,Democrat,65.09
Alabama,Morgan__AL,13234,24.63,39664,73.83,824,1.54,,,,,,,,,53722,Republican,73.83
Alabama,Perry__AL,3860,73.8,1339,25.6,31,0.6,,,,,,,,,5230,Democrat,73.8
Alabama,Pickens__AL,4022,41.6,5594,57.86,52,0.54,,,,,,,,,9668,Republican,57.86
Alabama,Pike__AL,5636,40.72,8042,58.1,163,1.18,,,,,,,,,13841,Republican,58.1
Alabama,Randolph__AL,2203,20.33,8559,78.98,75,0.69,,,,,,,,,10837,Republican,78.98
Alabama,Russell__AL,11228,52.64,9864,46.25,237,1.11,,,,,,,,,21329,Democrat,52.64
Alabama,Shelby__AL,33268,28.94,79700,69.33,1982,1.73,,,,,,,,,114950,Republican,69.33
Alabama,St__Clair__AL,7744,17.43,36166,81.38,531,1.19,,,,,,,,,44441,Republican,81.38
Alabama,Sumter__AL,4648,73.88,1598,25.4,45,0.72,,,,,,,,,6291,Democrat,73.88
Alabama,Talladega__AL,13138,36.84,22235,62.35,290,0.81,,,,,,,,,35663,Republican,62.35
Alabama,Tallapoosa__AL,5859,27.91,14963,71.28,169,0.81,,,,,,,,,20991,Republican,71.28
Alabama,Tuscaloosa__AL,37765,41.88,51117,56.69,1290,1.43,,,,,,,,,90172,Republican,56.69
Alabama,Walker__AL,4834,15.51,26002,83.42,334,1.07,,,,,,,,,31170,Republican,83.42
Alabama,Washington__AL,2258,25.44,6564,73.95,54,0.61,,,,,,,,,8876,Republican,73.95
Alabama,Wilcox__AL,4048,68.58,1833,31.05,22,0.37,,,,,,,,,5903,Democrat,68.58
Alabama,Winston__AL,974,8.63,10195,90.35,115,1.02,,,,,,,,,11284,Republican,90.35
Arizona,Apache__AZ,23293,66.05,11442,32.44,533,1.51,,,,,,,,,35268,Democrat,66.05
Arizona,Cochise__AZ,23732,39.12,35557,58.61,1376,2.27,,,,,,,,,60665,Republican,58.61
Arizona,Coconino__AZ,44698,60.7,27052,36.74,1882,2.56,,,,,,,,,73632,Democrat,60.7
Arizona,Gila__AZ,8943,32.24,18377,66.26,415,1.5,,,,,,,,,27735,Republican,66.26
Arizona,Graham__AZ,4034,26.84,10749,71.52,246,1.64,,,,,,,,,15029,Republican,71.52
Arizona,Greenlee__AZ,1182,31.98,2433,65.83,81,2.19,,,,,,,,,3696,Republican,65.83
Arizona,La_Paz__AZ,2236,29.93,5129,68.64,107,1.43,,,,,,,,,7472,Republican,68.64
Arizona,Maricopa__AZ,1040774,50.13,995665,47.96,39647,1.91,,,,,,,,,2076086,Democrat,50.13
Arizona,Mohave__AZ,24831,23.67,78535,74.88,1517,1.45,,,,,,,,,104883,Republican,74.88
Arizona,Navajo__AZ,23383,45.03,27657,53.26,890,1.71,,,,,,,,,51930,Republican,53.26
Arizona,Pima__AZ,304981,58.41,207758,39.79,9435,1.81,,,,,,,,,522174,Democrat,58.41
Arizona,Pinal__AZ,75106,40.48,107077,57.72,3342,1.8,,,,,,,,,185525,Republican,57.72
Arizona,Santa_Cruz__AZ,13138,67.1,6194,31.63,249,1.27,,,,,,,,,19581,Democrat,67.1
Arizona,Yavapai__AZ,49602,34.53,91527,63.72,2511,1.75,,,,,,,,,143640,Republican,63.72
