State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Gary Johnson Libertarian_Votes,Gary Johnson Libertarian_Pct,Jill Stein Green_Votes,Jill Stein Green_Pct,Evan McMullin Independent_Votes,Evan McMullin Independent_Pct,Gary Johnson Nonparty_Votes,Gary Johnson Nonparty_Pct,Richard Duncan Nonparty_Votes,Richard Duncan Nonparty_Pct,Darrell Castle Constitution_Votes,Darrell Castle Constitution_Pct,Evan McMullin Unaffiliated_Votes,Evan McMullin Unaffiliated_Pct,Total_Votes,Winner,Winner_Pct
Georgia,Mitchell__GA,3493,44.33,4279,54.3,108,1.37,0,0.0,0,0.0,,,,,,,,,,,7880,Republican,54.3
Georgia,Monroe__GA,3571,28.15,8832,69.61,284,2.24,0,0.0,0,0.0,,,,,,,,,,,12687,Republican,69.61
Georgia,Montgomery__GA,847,23.69,2670,74.66,59,1.65,0,0.0,0,0.0,,,,,,,,,,,3576,Republican,74.66
Georgia,Morgan__GA,2663,27.93,6559,68.78,314,3.29,0,0.0,0,0.0,,,,,,,,,,,9536,Republican,68.78
Georgia,Murray__GA,1800,14.39,10341,82.67,368,2.94,0,0.0,0,0.0,,,,,,,,,,,12509,Republican,82.67
Georgia,Muscogee__GA,39851,57.32,26976,38.8,2698,3.88,0,0.0,0,0.0,,,,,,,,,,,69525,Democrat,57.32
Georgia,Newton__GA,21943,49.6,20913,47.27,1382,3.13,0,0.0,0,0.0,,,,,,,,,,,44238,Democrat,49.6
Georgia,Oconee__GA,5581,27.42,13425,65.96,1347,6.62,0,0.0,0,0.0,,,,,,,,,,,20353,Republican,65.96
Georgia,Oglethorpe__GA,1831,27.43,4625,69.3,218,3.27,0,0.0,0,0.0,,,,,,,,,,,6674,Republican,69.3
Georgia,Paulding__GA,18025,27.53,44662,68.21,2793,4.26,0,0.0,0,0.0,,,,,,,,,,,65480,Republican,68.21
Georgia,Peach__GA,5100,47.18,5413,50.08,296,2.74,0,0.0,0,0.0,,,,,,,,,,,10809,Republican,50.08
Georgia,Pickens__GA,1979,14.02,11651,82.51,490,3.47,0,0.0,0,0.0,,,,,,,,,,,14120,Republican,82.51
Georgia,Pierce__GA,903,12.35,6302,86.2,106,1.45,0,0.0,0,0.0,,,,,,,,,,,7311,Republican,86.2
Georgia,Pike__GA,1240,14.15,7278,83.03,248,2.82,0,0.0,0,0.0,,,,,,,,,,,8766,Republican,83.03
Georgia,Polk__GA,2867,20.08,11014,77.16,394,2.76,0,0.0,0,0.0,,,,,,,,,,,14275,Republican,77.16
Georgia,Pulaski__GA,1104,30.62,2437,67.6,64,1.78,0,0.0,0,0.0,,,,,,,,,,,3605,Republican,67.6
Georgia,Putnam__GA,2758,28.95,6544,68.68,226,2.37,0,0.0,0,0.0,,,,,,,,,,,9528,Republican,68.68
Georgia,Quitman__GA,461,44.16,575,55.08,8,0.76,0,0.0,0,0.0,,,,,,,,,,,1044,Republican,55.08
Georgia,Rabun__GA,1444,17.94,6287,78.12,317,3.94,0,0.0,0,0.0,,,,,,,,,,,8048,Republican,78.12
Georgia,Randolph__GA,1598,55.12,1271,43.84,30,1.04,0,0.0,0,0.0,,,,,,,,,,,2899,Democrat,55.12
