State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Eric Hass Socialist Labor_Votes,Eric Hass Socialist Labor_Pct,Orval Faubus National States' Rights_Votes,Orval Faubus National States' Rights_Pct,Farrell Dobbs Socialist Workers_Votes,Farrell Dobbs Socialist Workers_Pct,All Others Various_Votes,All Others Various_Pct,Others_Votes,Others_Pct,Farrell Dobbs No Party Listed_Votes,Farrell Dobbs No Party Listed_Pct,Rutherford Decker Prohibition_Votes,Rutherford Decker Prohibition_Pct,Unpledged electors States’ Rights_Votes,Unpledged electors States’ Rights_Pct,Various Candidates Write-ins_Votes,Various Candidates Write-ins_Pct,Lars Daly Independent_Votes,Lars Daly Independent_Pct,Eric Hass Industrial Government_Votes,Eric Hass Industrial Government_Pct,Various candidates Write-ins_Votes,Various candidates Write-ins_Pct,Orval Faubus National States’ Rights_Votes,Orval Faubus National States’ Rights_Pct,C. Benton Coiner Virginia Conservative_Votes,C. Benton Coiner Virginia Conservative_Pct,Total_Votes,Winner,Winner_Pct
Arkansas,Carroll__AR,1301,32.81,2615,65.95,0,0.0,0,0.0,49,1.24,,,,,,,,,,,,,,,,,,,,,,,,,3965,Republican,65.95
Arkansas,Chicot__AR,1803,59.1,979,32.09,0,0.0,0,0.0,269,8.82,,,,,,,,,,,,,,,,,,,,,,,,,3051,Democrat,59.1
Arkansas,Clark__AR,3295,64.82,1357,26.7,0,0.0,0,0.0,431,8.48,,,,,,,,,,,,,,,,,,,,,,,,,5083,Democrat,64.82
Arkansas,Clay__AR,1908,41.77,2543,55.67,0,0.0,0,0.0,117,2.56,,,,,,,,,,,,,,,,,,,,,,,,,4568,Republican,55.67
Arkansas,Cleburne__AR,1144,50.13,1026,44.96,0,0.0,0,0.0,112,4.91,,,,,,,,,,,,,,,,,,,,,,,,,2282,Democrat,50.13
Arkansas,Cleveland__AR,1216,70.9,290,16.91,0,0.0,0,0.0,209,12.19,,,,,,,,,,,,,,,,,,,,,,,,,1715,Democrat,70.9
Arkansas,Columbia__AR,2427,43.3,2372,42.32,0,0.0,0,0.0,806,14.38,,,,,,,,,,,,,,,,,,,,,,,,,5605,Democrat,43.3
Arkansas,Conway__AR,2900,60.47,1685,35.13,0,0.0,0,0.0,211,4.4,,,,,,,,,,,,,,,,,,,,,,,,,4796,Democrat,60.47
Arkansas,Craighead__AR,4898,45.61,5258,48.97,0,0.0,0,0.0,582,5.42,,,,,,,,,,,,,,,,,,,,,,,,,10738,Republican,48.97
Arkansas,Crawford__AR,2430,41.14,3373,57.1,0,0.0,0,0.0,104,1.76,,,,,,,,,,,,,,,,,,,,,,,,,5907,Republican,57.1
Arkansas,Crittenden__AR,2679,52.24,2234,43.56,0,0.0,0,0.0,215,4.19,,,,,,,,,,,,,,,,,,,,,,,,,5128,Democrat,52.24
Arkansas,Cross__AR,2088,57.76,1287,35.6,0,0.0,0,0.0,240,6.64,,,,,,,,,,,,,,,,,,,,,,,,,3615,Democrat,57.76
