State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,All Others_Votes,All Others_Pct,Total_Votes,Winner,Winner_Pct
Florida,Monroe__FL,17933,40.46,26064,58.8,331,0.75,0,0,44328,Republican,58.8
Florida,Nassau__FL,17143,26.12,47945,73.06,537,0.82,0,0,65625,Republican,73.06
Florida,Okaloosa__FL,32074,28.23,80309,70.67,1253,1.1,0,0,113636,Republican,70.67
Florida,Okeechobee__FL,3671,22.86,12315,76.69,72,0.45,0,0,16058,Republican,76.69
Florida,Orange__FL,340807,56.13,258279,42.54,8113,1.34,0,0,607199,Democrat,56.13
Florida,Osceola__FL,84205,48.74,86713,50.19,1862,1.08,0,0,172780,Republican,50.19
Florida,Palm_Beach__FL,372512,49.95,366836,49.19,6361,0.85,0,0,745709,Democrat,49.95
Florida,Pasco__FL,117450,36.88,197779,62.1,3242,1.02,0,0,318471,Republican,62.1
Florida,Pinellas__FL,242452,46.89,269472,52.11,5150,1,0,0,517074,Republican,52.11
Florida,Polk__FL,136879,39.23,209044,59.91,3008,0.86,0,0,348931,Republican,59.91
Florida,Putnam__FL,9354,25.79,26700,73.61,218,0.6,0,0,36272,Republican,73.61
Florida,Santa_Rosa__FL,27035,24.05,84314,75,1076,0.96,0,0,112425,Republican,75
Florida,Sarasota__FL,112668,40.55,163219,58.74,1979,0.71,0,0,277866,Republican,58.74
Florida,Seminole__FL,120717,47.58,129735,51.13,3275,1.29,0,0,253727,Republican,51.13
Florida,St__Johns__FL,66862,33.86,128759,65.21,1836,0.93,0,0,197457,Republican,65.21
Florida,St__Lucie__FL,83517,45.11,100293,54.17,1321,0.71,0,0,185131,Republican,54.17
Florida,Sumter__FL,32551,30.94,72134,68.56,533,0.51,0,0,105218,Republican,68.56
Florida,Suwannee__FL,4217,19.26,17561,80.22,113,0.52,0,0,21891,Republican,80.22
Florida,Taylor__FL,1991,19.92,7954,79.56,52,0.52,0,0,9997,Republican,79.56
Florida,Union__FL,971,15.58,5224,83.84,36,0.58,0,0,6231,Republican,83.84
Florida,Volusia__FL,120132,38.69,187691,60.45,2675,0.86,0,0,310498,Republican,60.45
Florida,Wakulla__FL,5441,27.4,14246,71.75,169,0.85,0,0,19856,Republican,71.75
Florida,Walton__FL,10287,20.74,38970,78.57,344,0.69,0,0,49601,Republican,78.57
Florida,Washington__FL,2140,17.01,10370,82.41,74,0.59,0,0,12584,Republican,82.41
Georgia,Appling__GA,1560,18.72,6761,81.13,13,0.15,0,0,8334,Republican,81.13
Georgia,Atkinson__GA,700,22.9,2350,76.87,7,0.23,0,0,3057,Republican,76.87
Georgia,Bacon__GA,645,13.33,4186,86.51,8,0.16,0,0,4839,Republican,86.51
Georgia,Baker__GA,590,39.97,883,59.82,3,0.21,0,0,1476,Republican,59.82
Georgia,Baldwin__GA,9159,48.65,9574,50.86,92,0.49,0,0,18825,Republican,50.86
Georgia,Banks__GA,1136,10.8,9358,88.96,25,0.24,0,0,10519,Republican,88.96
Georgia,Barrow__GA,12949,29.47,30730,69.95,255,0.58,0,0,43934,Republican,69.95
Georgia,Bartow__GA,13942,24.23,43271,75.19,334,0.58,0,0,57547,Republican,75.19
Georgia,Ben_Hill__GA,2199,33.83,4281,65.85,21,0.32,0,0,6501,Republican,65.85
Georgia,Berrien__GA,1209,14.99,6841,84.79,18,0.22,0,0,8068,Republican,84.79
Georgia,Bibb__GA,42172,60.96,26658,38.53,351,0.51,0,0,69181,Democrat,60.96
Georgia,Bleckley__GA,1339,22.15,4685,77.51,20,0.34,0,0,6044,Republican,77.51
Georgia,Brantley__GA,736,8.66,7744,91.11,20,0.23,0,0,8500,Republican,91.11
Georgia,Brooks__GA,2629,36.46,4560,63.25,21,0.29,0,0,7210,Republican,63.25
Georgia,Bryan__GA,7779,31.56,16738,67.9,134,0.54,0,0,24651,Republican,67.9
Georgia,Bulloch__GA,11514,35.26,20985,64.26,158,0.48,0,0,32657,Republican,64.26
Georgia,Burke__GA,4994,45.11,6027,54.44,49,0.45,0,0,11070,Republican,54.44
Georgia,Butts__GA,3544,27.22,9424,72.39,51,0.39,0,0,13019,Republican,72.39
Georgia,Calhoun__GA,1153,56.08,900,43.77,3,0.15,0,0,2056,Democrat,56.08
Georgia,Camden__GA,8405,31.85,17819,67.51,169,0.64,0,0,26393,Republican,67.51
Georgia,Candler__GA,1196,26.18,3366,73.69,6,0.13,0,0,4568,Republican,73.69
Georgia,Carroll__GA,17634,29.15,42536,70.31,324,0.54,0,0,60494,Republican,70.31
Georgia,Catoosa__GA,7704,21.99,27150,77.49,184,0.52,0,0,35038,Republican,77.49
Georgia,Charlton__GA,1007,21.76,3607,77.94,14,0.3,0,0,4628,Republican,77.94
Georgia,Chatham__GA,82758,58.65,57336,40.63,1015,0.72,0,0,141109,Democrat,58.65
Georgia,Chattahoochee__GA,703,41.5,982,57.97,9,0.53,0,0,1694,Republican,57.97
Georgia,Chattooga__GA,1896,17.71,8769,81.91,41,0.38,0,0,10706,Republican,81.91
Georgia,Cherokee__GA,48838,30.09,112142,69.1,1301,0.81,0,0,162281,Republican,69.1
Georgia,Clarke__GA,36297,68.63,16049,30.35,541,1.02,0,0,52887,Democrat,68.63
Georgia,Clay__GA,771,53.47,663,45.98,8,0.55,0,0,1442,Democrat,53.47
Georgia,Clayton__GA,94203,84.31,16877,15.11,649,0.58,0,0,111729,Democrat,84.31
Georgia,Clinch__GA,702,24.14,2201,75.69,5,0.17,0,0,2908,Republican,75.69
Georgia,Cobb__GA,228404,56.91,168679,42.03,4286,1.06,0,0,401369,Democrat,56.91
Georgia,Coffee__GA,4295,27.33,11388,72.47,32,0.2,0,0,15715,Republican,72.47
Georgia,Colquitt__GA,4114,24.77,12451,74.96,46,0.27,0,0,16611,Republican,74.96
Georgia,Columbia__GA,31624,36.81,53657,62.45,639,0.74,0,0,85920,Republican,62.45
Georgia,Cook__GA,1956,26.59,5374,73.05,27,0.36,0,0,7357,Republican,73.05
Georgia,Coweta__GA,28111,32.72,57204,66.58,601,0.7,0,0,85916,Republican,66.58
Georgia,Crawford__GA,1582,24.95,4742,74.79,16,0.25,0,0,6340,Republican,74.79
Georgia,Crisp__GA,2993,36.88,5099,62.83,24,0.29,0,0,8116,Republican,62.83
Georgia,Dade__GA,1343,16.38,6804,82.98,53,0.64,0,0,8200,Republican,82.98
Georgia,Dawson__GA,3350,17.13,16115,82.38,96,0.49,0,0,19561,Republican,82.38
Georgia,Decatur__GA,4372,37.86,7140,61.82,37,0.32,0,0,11549,Republican,61.82
Georgia,DeKalb__GA,299630,81.86,62622,17.11,3756,1.03,0,0,366008,Democrat,81.86
